date,pm10,pm25,co,no2,so2,o3,aerosol_optical_depth,dust,uv_index,aqi,european_aqi,hour,day,month,weekday,aqi_change_rate,aqi_lag_1,aqi_lag_7,target_aqi,temperature,humidity,wind_speed,rain
2024-07-09,121.10833333333332,34.90416666666667,273.0416666666667,16.625,14.158333333333331,89.58333333333333,1.04375,194.75,1.2041666666666668,116.91666666666669,105.41666666666669,0,9,7,1,20.875,96.04166666666669,82.875,76.91666666666667,31.6,78,20.4,0.9
2024-07-10,109.75833333333333,32.920833333333334,251.58333333333331,15.695833333333333,8.75,66.5,0.63,172.75,2.145833333333333,102.25,86.29166666666667,0,10,7,2,-14.666666666666686,116.91666666666669,76.5,81.5,31.8,78,23.9,0.1
2024-07-11,76.35416666666667,25.5,180.875,9.045833333333333,4.429166666666666,53.458333333333336,0.6720833333333333,107.625,1.9979166666666663,86.375,77.625,0,11,7,3,-15.875,102.25,71.75,78.375,31.5,74,34.0,0.6
2024-07-12,69.05833333333334,25.616666666666664,152.25,7.108333333333333,3.333333333333333,47.54166666666666,1.1675,82.125,1.1854166666666666,76.91666666666667,68.04166666666667,0,12,7,4,-9.458333333333329,86.375,75.54166666666667,85.91666666666667,31.0,75,39.8,1.2
2024-07-13,77.86666666666666,26.9625,180.41666666666663,9.308333333333334,3.8708333333333336,48.66666666666666,1.3995833333333334,96.58333333333331,0.8916666666666667,81.5,69.33333333333333,0,13,7,5,4.583333333333329,76.91666666666667,82.54166666666667,99.79166666666669,30.8,78,32.5,2.2
2024-07-14,79.88333333333334,23.7875,184.41666666666663,9.995833333333334,4.808333333333334,46.16666666666666,1.0762500000000002,122.54166666666669,1.19375,78.375,70.41666666666667,0,14,7,6,-3.125,81.5,96.08333333333331,87.45833333333333,30.7,78,28.1,0.6
2024-07-15,162.88750000000002,32.93333333333333,235.16666666666663,14.666666666666666,8.6875,64.41666666666667,0.9770833333333332,312.1666666666667,1.5020833333333332,85.91666666666667,87.45833333333333,0,15,7,0,7.541666666666671,78.375,96.04166666666669,88.29166666666667,31.1,75,21.4,0.0
2024-07-16,135.91666666666666,31.479166666666668,242.79166666666663,16.008333333333333,8.1,68.91666666666667,0.8054166666666666,256.2083333333333,1.9354166666666668,99.79166666666669,101.79166666666669,0,16,7,1,13.875000000000014,85.91666666666667,116.91666666666669,92.16666666666669,31.9,74,26.9,0.1
2024-07-17,110.65,29.6,239.41666666666663,14.679166666666667,9.5375,74.5,0.8558333333333333,183.83333333333331,1.6395833333333334,87.45833333333333,89.20833333333333,0,17,7,2,-12.333333333333357,99.79166666666669,102.25,96.125,31.8,77,30.7,0.0
2024-07-18,98.75416666666666,29.0625,185.54166666666663,9.375,6.904166666666666,70.375,0.6379166666666667,160.70833333333334,2.2291666666666665,88.29166666666667,81.95833333333333,0,18,7,3,0.8333333333333428,87.45833333333333,86.375,119.0,32.1,77,29.5,0.0
2024-07-19,95.19583333333333,33.47083333333333,216.0,10.466666666666669,6.229166666666667,77.20833333333333,0.7225,130.75,2.00625,92.16666666666669,78.41666666666667,0,19,7,4,3.875000000000014,88.29166666666667,76.91666666666667,91.04166666666669,31.8,72,24.8,0.0
2024-07-20,110.18333333333334,35.30833333333333,266.2916666666667,15.708333333333334,10.358333333333333,84.58333333333333,0.7108333333333333,162.54166666666666,1.9479166666666667,96.125,80.54166666666667,0,20,7,5,3.9583333333333144,92.16666666666669,81.5,75.625,32.8,71,22.0,0.2
2024-07-21,80.56666666666666,36.62083333333333,347.75,18.320833333333333,17.775000000000002,108.83333333333331,0.6775000000000001,76.5,2.1083333333333334,119.0,80.91666666666667,0,21,7,6,22.875,96.125,78.375,88.08333333333333,33.3,69,16.1,4.2
2024-07-22,65.31666666666666,24.995833333333334,232.79166666666663,10.941666666666668,6.808333333333334,73.29166666666667,0.6708333333333334,77.33333333333333,1.9583333333333333,91.04166666666669,67.66666666666667,0,22,7,0,-27.958333333333314,119.0,85.91666666666667,92.75,31.9,77,30.9,3.4
2024-07-23,85.7375,25.5,186.33333333333331,8.416666666666666,4.995833333333334,61.54166666666666,0.6958333333333333,129.25,1.43125,75.625,67.58333333333333,0,23,7,1,-15.416666666666686,91.04166666666669,99.79166666666669,98.45833333333331,30.9,77,29.3,0.1
2024-07-24,134.30833333333334,31.04583333333333,174.75,7.708333333333333,4.875,57.16666666666666,0.8370833333333333,246.20833333333331,1.5729166666666667,88.08333333333333,86.79166666666667,0,24,7,2,12.458333333333329,75.625,87.45833333333333,93.16666666666669,30.6,76,31.2,0.0
2024-07-25,152.17083333333332,34.375,177.91666666666666,8.704166666666667,5.6375,54.958333333333336,1.18,282.75,1.175,92.75,95.66666666666669,0,25,7,3,4.666666666666671,88.08333333333333,88.29166666666667,107.58333333333331,30.7,76,25.5,0.3
2024-07-26,137.06666666666666,33.32083333333333,174.125,8.058333333333334,5.333333333333333,62.958333333333336,0.96875,244.29166666666663,1.66875,98.45833333333331,98.20833333333331,0,26,7,4,5.708333333333314,92.75,92.16666666666669,106.91666666666669,31.2,76,28.5,0.4
2024-07-27,150.65,33.5625,169.54166666666666,7.766666666666667,5.370833333333334,63.833333333333336,0.86875,283.0,2.0500000000000003,93.16666666666669,95.375,0,27,7,5,-5.291666666666629,98.45833333333331,96.125,101.04166666666669,31.2,74,28.7,0.0
2024-07-28,174.8166666666667,38.96666666666667,218.25,12.704166666666666,9.408333333333331,63.833333333333336,0.8654166666666666,334.875,1.375,107.58333333333331,108.08333333333331,0,28,7,6,14.416666666666629,93.16666666666669,119.0,71.375,31.1,74,19.5,0.0
2024-07-29,164.87083333333334,34.78333333333333,237.54166666666663,14.9,15.329166666666666,62.875,0.6808333333333333,322.0,1.7791666666666668,106.91666666666669,107.41666666666669,0,29,7,0,-0.6666666666666288,107.58333333333331,91.04166666666669,64.41666666666667,30.4,77,22.8,3.3
2024-07-30,95.8,30.1625,260.0833333333333,16.683333333333334,9.216666666666669,59.625,0.8075,147.70833333333334,0.8020833333333334,101.04166666666669,96.33333333333331,0,30,7,1,-5.875,106.91666666666669,75.625,77.5,29.2,85,20.4,18.4
2024-07-31,35.979166666666664,17.349999999999998,263.75,16.4375,8.820833333333333,64.25,0.35625,30.791666666666668,1.7458333333333331,71.375,55.91666666666666,0,31,7,2,-29.666666666666686,101.04166666666669,88.08333333333333,86.83333333333333,29.2,86,22.0,2.3
2024-08-01,55.625,21.92083333333333,192.04166666666663,9.595833333333331,4.175,56.5,0.5266666666666667,61.625,1.8958333333333333,64.41666666666667,46.91666666666666,0,1,8,3,-6.958333333333329,71.375,92.75,94.29166666666669,29.5,83,33.9,1.4
2024-08-02,94.05416666666667,26.40833333333333,188.58333333333331,10.666666666666666,4.220833333333333,44.16666666666666,1.1729166666666666,148.0,0.7937500000000001,77.5,70.125,0,2,8,4,13.083333333333329,64.41666666666667,98.45833333333331,93.5,29.3,84,27.7,1.0
